Crew,Country,Habitation,Brief Mission Summary,Fatality,Moon,Sub Orbital,Prolongation,Launch Data,Launch Mission,Return Data,Return Mission,Launch Year
"Roman Romanenko, Chris Hadfield, Thomas Marshburn",USSR/Russia,ISS,ISS crew rotation.,N,N,N,147.0,2012-12-19,Soyuz TMA-07M,2013-05-14,Soyuz TMA-07M,2012
"Pavel Vinogradov, Alexander Misurkin, Christopher Cassidy",USSR/Russia,ISS,ISS crew rotation.,N,N,N,168.0,2013-03-28,Soyuz TMA-08M,2013-09-11,Soyuz TMA-08M,2013
"Fyodor Yurchikhin, Karen L. Nyberg, Luca Parmitano",USSR/Russia,ISS,ISS crew rotation.,N,N,N,168.0,2013-05-28,Soyuz TMA-09M,2013-11-11,Soyuz TMA-09M,2013
"Nie Haisheng, Zhang Xiaoguang, Wang Yaping",China,Tiangong 1,Fifth human spaceflight and second manned space station docking for China.,N,N,N,15.0,2013-06-11,Shenzhou 10,2013-06-26,Shenzhou 10,2013
"Oleg Kotov, Sergey Ryazansky, Michael S. Hopkins",USSR/Russia,ISS,ISS crew rotation.,N,N,N,168.0,2013-09-25,Soyuz TMA-10M,2014-03-11,Soyuz TMA-10M,2013
"Mikhail TYuryn, Richard A. Mastracchio, Koichi Wakata",USSR/Russia,ISS,ISS crew rotation.,N,N,N,189.0,2013-11-07,Soyuz TMA-11M,2014-05-14,Soyuz TMA-11M,2013
"Alexander Skvortsov, Oleg Artemyev, Steven Swanson",USSR/Russia,ISS,ISS crew rotation.,N,N,N,171.0,2014-03-25,Soyuz TMA-12M,2014-09-11,Soyuz TMA-12M,2014
"Soyuz TMA-16 (Expedition 21/22), Soyuz TMA-13M (Expedition 40/41)",USSR/Russia,ISS,ISS crew rotation.,N,N,N,167.0,2014-05-28,Soyuz TMA-13M,2014-11-10,Soyuz TMA-13M,2014
"Alexander Samokutyayev, Yelena Serova, Barry E. Wilmore",USSR/Russia,ISS,ISS crew rotation.,N,N,N,169.0,2014-09-25,Soyuz TMA-14M,2015-03-12,Soyuz TMA-14M,2014
"Anton Shkaplerov, Samantha Cristoforetti, Terry W. Virts",USSR/Russia,ISS,ISS crew rotation.,N,N,N,201.0,2014-11-23,Soyuz TMA-15M,2015-06-11,Soyuz TMA-15M,2014
"Mikhail Korniyenko, Scott J. Kelly",USSR/Russia,ISS,ISS crew rotation.,N,N,N,342.0,2015-03-27,Soyuz TMA-16M,2016-03-02,Soyuz TMA-16M,2015
Gennady Padalka,USSR/Russia,ISS,ISS crew rotation.,N,N,N,170.0,2015-03-27,Soyuz TMA-16M,2015-09-12,Soyuz TMA-18M,2015
"Oleg Kononenko, Kimiya Yui, Kjell N. Lindgren",USSR/Russia,ISS,ISS crew rotation.,N,N,N,143.0,2015-07-22,Soyuz TMA-17M,2015-12-11,Soyuz TMA-17M,2015
Sergey Volkov,USSR/Russia,ISS,ISS crew rotation.,N,N,N,183.0,2015-09-02,Soyuz TMA-18M,2016-03-02,Soyuz TMA-18M,2015
"Andreas Mogensen, Aidyn Aimbetov",USSR/Russia,ISS,ISS crew rotation.,N,N,N,10.0,2015-09-02,Soyuz TMA-18M,2015-09-12,Soyuz TMA-16M,2015
"Soyuz TM-19 (Mir EO-16), STS-106, Soyuz TMA-2 (Expedition 7), Soyuz TMA-11 (Expedition 16), Soyuz TMA-05M (Expedition 32/33), Soyuz TMA-19M (Expedition 46/47)",USSR/Russia,ISS,ISS crew rotation.,N,N,N,187.0,2015-12-15,Soyuz TMA-19M,2016-06-18,Soyuz TMA-19M,2015
"Aleksey Ovchinin, Oleg Skripochka, Jeffrey Williams",USSR/Russia,ISS,ISS crew rotation.,N,N,N,174.0,2016-03-18,Soyuz TMA-20M,2016-09-07,Soyuz TMA-20M,2016
"Soyuz TMA-22 (Expedition 29/30), Soyuz MS-01 (Expedition 48/49)",USSR/Russia,ISS,ISS crew rotation.,N,N,N,116.0,2016-07-07,Soyuz MS-01,2016-10-30,Soyuz MS-01,2016
"Jing Haipeng, Chen Dong",China,Tiangong 2,Testbed mission for the Chinese to gain experience from an extended stay on a space laboratory and test its life-support systems.,N,N,N,33.0,2016-10-16,Shenzhou 11,2016-11-18,Shenzhou 11,2016
"Sergey Ryzhikov, Andrey Borisenko, Robert S. Kimbrough",USSR/Russia,ISS,ISS crew rotation.,N,N,N,174.0,2016-10-19,Soyuz MS-02,2017-04-10,Soyuz MS-02,2016
Peggy Whitson,USSR/Russia,ISS,ISS crew rotation.,N,N,N,291.0,2016-11-17,Soyuz MS-03,2017-09-03,Soyuz MS-03,2016
"Oleg Novitskiy, Thomas Pesquet",USSR/Russia,ISS,ISS crew rotation.,N,N,N,198.0,2016-11-17,Soyuz MS-03,2017-06-02,Soyuz MS-04,2016
"Fyodor Yurchikhin, Jack D. Fischer",USSR/Russia,ISS,ISS crew rotation.,N,N,N,137.0,2017-04-20,Soyuz MS-04,2017-09-03,Soyuz MS-04,2017
"Sergey Ryazansky, Paolo Nespoli, Randolph Bresnik",USSR/Russia,ISS,ISS crew rotation.,N,N,N,140.0,2017-07-28,Soyuz MS-05,2017-12-14,Soyuz MS-05,2017
"Alexander Misurkin, Mark T. Vande Hei, Joseph M. Acaba",USSR/Russia,ISS,ISS crew rotation.,N,N,N,,2017-09-12,Soyuz MS-06,,in orbit,2017
"Anton Shkaplerov, Scott D. Tingle, Norishige Kanai",USSR/Russia,ISS,ISS crew rotation.,N,N,N,,2017-12-17,Soyuz MS-07,,in orbit,2017
