Crew,Country,Habitation,Brief Mission Summary,Fatality,Moon,Sub Orbital,Prolongation,Launch Data,Launch Mission,Return Data,Return Mission,Launch Year
"Pyotr Klimuk, Vitaly Sevastyanov",USSR/Russia,Salyut 4,Research into long-term stays in space.,N,N,N,64.0,1975-05-24,Soyuz 18,1975-07-26,Soyuz 18,1975
"Alexey Leonov, Valery Kubasov",USSR/Russia,,"Apollo-Soyuz Test Project (ASTP); first joint Soviet–US spaceflight. The two craft dock in space with exchange of flags and gifts.
 Last manned US mission until STS-1 in 1981.",N,N,N,6.0,1975-07-15,Soyuz 19,1975-07-21,Soyuz 19,1975
"Thomas P. Stafford, Vance D. Brand, Donald K. Slayton",USA,,,N,N,N,9.0,1975-07-15,Apollo-Soyuz,1975-07-24,Apollo-Soyuz,1975
"Boris Volynov, Vitalyy Zholobov",USSR/Russia,Salyut 5,Assessment of Salyut 5 station's military surveillance capabilities.,N,N,N,49.0,1976-07-06,Soyuz 21,1976-08-24,Soyuz 21,1976
"Valery Bykovsky, Vladimir Aksyonov",USSR/Russia,,Earth photography.,N,N,N,8.0,1976-09-15,Soyuz 22,1976-09-23,Soyuz 22,1976
"Vyacheslav Zudov, Valery Rozhdestvensky",USSR/Russia,,Failed to board Salyut 5 space station.,N,N,N,2.0,1976-10-14,Soyuz 23,1976-10-16,Soyuz 23,1976
"Victor Gorbatko, Yury Glazkov",USSR/Russia,Salyut 5,Investigation of air quality on board Salyut 5.,N,N,N,18.0,1977-02-07,Soyuz 24,1977-02-25,Soyuz 24,1977
"Vladimir Kovalyonok, Valery Ryumin",USSR/Russia,,Failed to board Salyut 6 space station.,N,N,N,2.0,1977-10-09,Soyuz 25,1977-10-11,Soyuz 25,1977
"Georgy Grechko, Yury Romanenko",USSR/Russia,Salyut 6,First successful docking with Salyut 6.,N,N,N,97.0,1977-12-10,Soyuz 26,1978-03-16,Soyuz 27,1977
"Vladimir Dzhanibekov, Oleg Makarov",USSR/Russia,Salyut 6,,N,N,N,6.0,1978-01-10,Soyuz 27,1978-01-16,Soyuz 26,1978
"Aleksey Gubarev, Vladimír Remek",USSR/Russia,Salyut 6,First Czech astronaut and first astronaut not from USA or USSR (Remek).,N,N,N,8.0,1978-03-02,Soyuz 28,1978-03-10,Soyuz 28,1978
